book_number,short_name,long_name
1,Gen,Genesisi
2,Ekis,Ekisodho
3,Rev,Revhitiko
4,Num,Numeri
5,Dhut,Dhuteronomi
6,Jos,Joshua
7,Vat,Vatongi
8,Rute,Rute
9,1Sam,1 Samueri
10,2Sam,2 Samueri
11,1Madz,1 Madzimambo
12,2Madz,2 Madzimambo
13,1Mkrn,1 Makoronike
14,2Mkrn,2 Makoronike
15,Ezir,Ezira
16,Neh,Nehemia
17,Est,Esteri
18,Job,Jobho
19,Map,Mapisarema
20,Zvir,Zvirevo
21,Mup,Muparidzi
22,RwSor,Rwiyo Rukuru rwaSoromoni
23,Is,Isaya
24,Jer,Jeremia
25,KJer,Kuungudza kwaJeremia
26,Ezek,Ezekieri
27,Dhan,Dhanieri
28,Hos,Hosea
29,Joer,Joere
30,Am,Amosi
31,Ob,Obhadhia
32,Jon,Jona
33,Mika,Mika
34,Nah,Nahumi
35,Hab,Habhakuki
36,Zef,Zefania
37,Hag,Hagai
38,Zek,Zekaria
39,Mar,Maraki
40,Mat,Mateo
41,Mako,Mako
42,Ruka,Ruka
43,Joh,Johani
44,Mab,Mabasa aVapostori
45,Rom,VaRoma
46,1Kor,1 VaKorinde
47,2Kor,2 VaKorinde
48,Gar,VaGaratia
49,Efes,VaEfeso
50,Firip,VaFiripi
51,Kor,VaKorose
52,1Tes,1 VaTesaronika
53,2Tes,2 VaTesaronika
54,1Tim,1 Timoti
55,2Tim,2 Timoti
56,Tito,Tito
57,Firim,Firimoni
58,Heb,VaHebheru
59,Jak,Jakobho
60,1Pet,1 Petro
61,2Pet,2 Petro
62,1Joh,1 Johani
63,2Joh,2 Johani
64,3Joh,3 Johani
65,Jud,Judha
66,Zvak,Zvakazarurwa
